Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
"Various researchers worldwide, including Ashford and St Peters Hospital NHS Trust/  Guangdong Uni-Innovation Pharmaceuticals Co., Ltd.",Treatment,Other,Clinical,Unknown,"leflunomide, pyrimidine synthesis inhibitor",NCT04361214,"Life Arc (Ashford and St Peters Hospital NHS Trust/ Guangdong Uni-Innovation Pharmaceuticals Co., Ltd. trial)",medRxiv (https://doi.org/10.1101/2020.05.29.20114223) ,,"FDA-approved since 1998, approved to treat rheumatoid arthritis",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
"Various researchers worldwide, including University College London/ The Francis Crick  Institute (COVASE study)",Treatment,Other,Clinical,Phase III trials recruiting June 2020,"Pulmozyme (nebulised dornase alfa), a recombinant DNase enzyme","NCT04409925, NCT04359654, NCT04387786, NCT04355364, NCT04402944, NCT04402970",Life Arc (COVASE study),,,"FDA-approved since 1993, approved to treat cystic fibrosis",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/5/2020
"Sun
  Pharmaceutical Industries Ltd",Treatment,Other,Clinical,"Phase II trial started June 2020, results expected by October","AQCH, plant-derived (phytopharmaeutical) drug",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/9/2020
Genentech,Treatment,Other,Clinical,Unknown,"MSTT1041A (anti-ST2, the receptor for IL-33)",,Biomedical Advanced Research and Development Authority (BARDA),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/9/2020
Genentech,Treatment,Other,Clinical,Unknown,UTTR1147A (IL-22-Fc),,Biomedical Advanced Research and Development Authority (BARDA),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/9/2020
"Genetic Engineering and Biotechnology Center (CIGB), Cuba",Treatment,Other,Clinical,Unknown,"CIGB-258, immunoregulatory peptide",https://rpcec.sld.cu/ensayos/RPCEC00000313-Sp,Ministry of Public Health of Cuba,medRxiv (https://doi.org/10.1101/2020.05.27.20110601),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
"FSD
  Pharma",Treatment,Other,Clinical,Phase I topline results released June 2020,FSD-201 (ultramicronized palmitoylethanolamide),,,(https://www.businesswire.com/news/home/20200621005031/en/FSD-Pharma-Reports-Favorable-Topline-Results-Phase),Respiratory infections,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/23/2020
PhaseBio,Treatment,Other,Clinical,Phase 2 trial expected to start dosing end of June 2020 and results in Q4 2020,"PB1046, long-acting, sustained release human vasoactive intestinal peptide (VIP) analogue",NCT04433546,,,Pulmonary arterial hypertension,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
PTC Therapeutics,Treatment,Other,Clinical,Phase 2/3 trial to start in June 2020,"PTC299, oral small molecule inhibitor of dihydroorotate dehydrogenase (DHODH)",,,,Various oncology indications,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/18/2020
Dompe farmaceutici (as part of Exscalate4CoV),Treatment,Other,Clinical,Unknown,"raloxifene (Evista), an estrogen agonist/antagonist",,,,,"FDA approved since 1997, approved to treat osteoporosis and reduce risk of breat cancer in postmenopausal women with osteoporosis",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/22/2020
"Fulcrum
  Therapeutics",Treatment,Other,Clinical,Phase III trial to begin June 2020,"losmapimod, oral selective p38 mitogen activated protein kinase inhibitor",,,,"Multiple indications, including facioscapulohumeral muscular dystrophy ",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/26/2020
"Applied
  Biology/ Brown University/ Corpometria Institute",Treatment,Other,Clinical,Unknown,"dutasteride, anti-androgen",NCT04446429,,,,"FDA approved since 2001, approved to treat benign prostatic hyperplasia",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/26/2020
Merck KGaA,Treatment,Other,Pre-clinical,FDA cleared Phase II trial to begin in June 2020,"M5049, small molecule that block the activation of Toll-like receptor (TLR)7 and TLR8",,Unknown,,Various immuology indications,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
Eisai,Treatment,Other,Clinical,Added to REMAP-COVID trial in June 2020,"Eritoran, TLR-4 antagonist",,,,Sepsis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/2/2020
Zydus Cadila/ Avant Sante Research Center,Treatment,Other,Clinical,Phase IIb trials approved to start in Mexico July 2020,"desidustat, a hypoxia inducible factor prolyl hydroxylase inhibitor",,Unknown,,Chronic Kidney Disease,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/7/2020
ViralClear Pharmaceuticals,Treatment,Other,Clinical,Phase II trial recruiting July 2020,"merimepodib, IMPDH inhibitor",NCT04410354,Unknown,,Chronic Hepatitis C; Psoriasis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Baxter,Treatment,Device,Clinical,"FDA issued an Emergency Use Authorization on April 23, 2020",Oxiris Blood Purification Filter,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/24/2020
Bellerophon,Treatment,Device,Clinical,Individual patient expanded access,INOpulse,,Unknown,,,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
ExThera Medical,Treatment,Device,Clinical,"DOD to fund a multi-center trial June 2020; FDA issued an Emergency Use Authorization on April 17, 2020","Seraph100MicrobindAffinity Blood Filter (Seraphy 100), approved in the EU for pathogen reduction",,US Department of Defense (DOD),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
CytoSorbents Corporation,Treatment,Device,Clinical,"Individual patient expanded access; FDA issued an Emergency Use Authorization on April 10, 2020","CytoSorb (blood purification device, extracorporeal cytokine adsorber))",NCT04324528 ChiCTR2000030475 NCT04344080 DRKS00021447 NCT04385771,Unknown,medRxiv (https://doi.org/10.1101/2020.06.28.20133561),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/1/2020
ALung Technologies,Treatment,Device,Clinical,"FDA issued an Emergency Use Authorization on April 24, 2020",Hemolung Respiratory Assist System,,Unknown,,Acute Exacerbation of Chronic Obstructive Pulmonary Disease; Acute Respiratory Distress Syndrome (ARDS),N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
Terumo BCT Inc / Marker Therapeutics AG,Treatment,Device,Clinical,"FDA issued an Emergency Use Authorization on April 9, 2020",Extracorporeal blood purification (EBP) devices,,Unknown,,,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Fresenius Medical,Treatment,Device,Clinical,"FDA issued an Emergency Use Authorization on April 30, 2020","MultiFiltrate PRO System and multiBic/multiPlus Solutions, continuous renal replacement therapy (CRRT)",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/8/2020
Abiomed,Treatment,Device,Clinical,"FDA issued an Emergency Use Authorization on May 29, 2020",Impella RP heart pump,,Unknown,,,"FDA-approved since 2017, approved to treat advanced heart failure",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/5/2020
Scancell/ University of Nottingham/ Nottingham Trent University,Vaccine,DNA-based,Pre-clinical,Phase I to start in Q1 2021,DNA plasmid vaccine RBD&N,,Unknown,,Same platform as vaccine candidates for cancer,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
Entos Pharmaceuticals/ Cytiva,Vaccine,DNA-based,Pre-clinical,Phase I/II to start in late July 2020 ,DNA; Covigenix,,Canadian Institutes of Health Research (CIHR)/ Research Nova Scotia (RNS)/ Institute for Ageing (IA),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/1/2020
BioNet Asia,Vaccine,DNA-based,Pre-clinical,Unknown,DNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/20/2020
Inovio Pharmaceuticals/Beijing Advaccine Biotechnology/VGXI Inc./ Richter-Helm BioLogics/Ology Bioservices,Vaccine,DNA-based,Phase I,"Phase I initial data released June 30, 2020; Phase II/III trials start July/August 2020 ",DNA plasmid vaccine with electroporation; INO-4800,"NCT04336410, NCT04447781",Coalition for Epidemic Preparedness (CEPI) / Gates Foundation / US Department of Defense,Inovio (http://ir.inovio.com/news-releases/news-releases-details/2020/INOVIO-Announces-Positive-Interim-Phase-1-Data-For-INO-4800-Vaccine-for-COVID-19/default.aspx),Same platform as multiple vaccine candidates,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/6/2020
Mediphage Bioceuticals/ University of Waterloo,Vaccine,DNA-based,Pre-clinical,Unknown,msDNA vaccine,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
Symvivo,Vaccine,DNA-based,Pre-clinical,Unknown,"bacTRL-Spike
",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/12/2020
Takis/ Applied DNA Sciences/ Evvivax,Vaccine,DNA-based,Pre-clinical,Animal results released in May 2020; Phase I to start in fall 2020,DNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
Immunomic Therapeutics / EpiVax / PharmaJet,Vaccine,DNA-based,Pre-clinical,Unknown,"DNA plasmid, needle-free delivery",,Unknown,,Same platform as vaccine candidates for SARS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Zydus Cadila Healthcare Limited ,Vaccine,DNA-based,Pre-clinical,Phase I/II to start in July 2020 ,DNA plasmid,CTRI/2020/07/026352,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
OPENCORONA - Cobra Biologics / Karolinska Institute,Vaccine,DNA-based,Pre-clinical,Phase I to start in 2020,DNA with electroporation,,European Commission (Horizon 2020 Program),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
Osaka University/ AnGes/ Takara Bio/ Cytiva,Vaccine,DNA-based,Pre-clinical,Phase I to start in July 2020,DNA plasmid,JapicCTI-205328,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
"Genexine Consortium (GenNBio, International Vaccine Institute, Korea Advanced Institute of Science and Technology (KAIST), Pohang University of Science and Technology (POSTECH)/ Binex",Vaccine,DNA-based,Phase I,Phase I to start in July 2020,DNA vaccine (GX-19),NCT04445389,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/1/2020
Chula Vaccine Research Center,Vaccine,DNA-based,Pre-clinical,Unknown,DNA with electroporation,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/18/2020
"National
  Research Centre, Egypt",Vaccine,DNA-based,Pre-clinical,Unknown,"DNA plasmid vaccine S, S1, S2, RBD & N",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
Ege University,Vaccine,DNA-based,Pre-clinical,Unknown,DNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Valneva/ Dynavax,Vaccine,Inactivated virus,Pre-clinical,Unknown,"Inactivated (Inactivated + CpG 1018), VLA2001",,Unknown,,Same platform as vaccine candidates for Japanese Encephalitis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
Beijing Institute of Biological Products/ Sinopharm,Vaccine,Inactivated virus,Phase II,"In Phase II, June 2020",Inactivated,ChiCTR2000032459,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/12/2020
Wuhan Institute of Biological Products/ Sinopharm,Vaccine,Inactivated virus,Phase II,Phase III trial approved to start in United Arab Emirates June 2020; Early Phase I/II trial results released June 2020,Inactivated, ChiCTR2000031809,Unknown,(https://www.cnbg.com.cn/content/details_12_5545.html),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/25/2020
"Research Institute for Biological Safety Problems, Republic of Kazakhstan",Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated,,Unknown,,,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
"Institute of Medical Biology, Chinese Academy of Medical Sciences",Vaccine,Inactivated virus,Phase II,Phase II began June 2020,Inactivated,NCT04412538,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/23/2020
Sinovac/ Dynavax,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated (inactivated + CpG 1018),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
Osaka University / BIKEN / NIBIOHN,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Sinovac/ Instituto Butantan,Vaccine,Inactivated virus,Phase II,Phase III enrolling in Brazil in July 2020; Phase II started in June 2020; preliminary results from Phase I/II trials released June 2020,Inactivated (inactivated + alum); CoronaVac (formerly PiCoVacc),"NCT04456595, NCT04352608, NCT04383574",Unknown,(http://www.sinovac.com/?optionid=754&auto_id=904),Same platform as vaccine candidates for SARS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
"Beijing Minhai Biotechnology Co., Ltd.",Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/27/2020
"National Research Centre, Egypt",Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated whole virus,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
KM Biologics,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated (inactivated + alum),,Unknown,,"Same platform as vaccine candidates for JE, Zika",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Selcuk University,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Indian Immunologicals Ltd/ Griffith University,Vaccine,Live attenuated virus,Pre-clinical,Unknown,Codon deoptimized live attenuated virus,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
Codagenix / Serum Institute of India,Vaccine,Live attenuated virus,Pre-clinical,Animal data in summer 2020,Codon deoptimized live attenuated virus,,Unknown,,"Same platform as vaccine candidates for HAV, InfA, ZIKV, FMD, SIV, RSV, DENV ",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
Meissa Vaccines ,Vaccine,Live attenuated virus,Pre-clinical,Start Phase 1 beginning of 2021,MV-014-210,,Unknown,,Same platform as vaccine candidates for RSV,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/2/2020
Mehmet Ali Aydinlar University/ Acıbadem Labmed Health Services A.S.,Vaccine,Live attenuated virus,Pre-clinical,Unknown,Codon deoptimized live attenuated vaccines,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
University of Manitoba,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Non-replicating viral vector; dendritic cell-based vaccine,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/20/2020
Greffex,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Non-replicating viral vector; Ad5 S (GREVAX™ platform),,Unknown,,"Same platform as vaccine candidates for MERS
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
ReiThera/ Leukocare/ Univercells,Vaccine,Non-replicating viral vector,Pre-clinical,Start Phase I in summer 2020,Non-replicating viral vector; replication defective simian adenovirus (GRAd) encoding SARS-CoV-2 S,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
Stabilitech Biopharma Ltd,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Oral Ad5 S,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
Bharat Biotech/ Thomas Jefferson University,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Recombinant deactivated rabies virus containing S1,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
GeoVax / BravoVax,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Non-replicating viral vector; MVA encoded VLP,,Unknown,,"Same platform as vaccine candidates for LASV, EBOV, MARV, HIV",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
CanSino Biologics/Beijing Institute of Biotechnology/ Canada's National Research Council ,Vaccine,Non-replicating viral vector,Phase II,"Approved for military use in China on June 25, 2020; Phase II started April 2020; initial results released May 2020",Non-replicating viral vector; Adenovirus Type 5 vector (Ad5-nCoV),NCT04313127 ChiCTR2000030906 ChiCTR2000031781 NCT04398147,Unknown,The Lancet (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31208-3/fulltext),Same platform as vaccine candidates for EBOV  ,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
Altimmune / University of Alabama at Birmingham,Vaccine,Non-replicating viral vector,Pre-clinical,Phase I trial to begin Q3 2020,"AdCOVID; single-dose, intranasal vaccine; non replicating viral vector; adenovirus-based NasoVAX expressing spike protein",,Unknown,,Same platform as vaccine candidates for influenza,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
DZIF - German Center for Infection Research/ IDT Biologika GmbH,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Non-replicating viral vector; MVA-S encoded,,Unknown,,Same platform as vaccine candidates for many pathogens,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
ImmunityBio/ NantKwest,Vaccine,Non-replicating viral vector,Pre-clinical,Start Phase I in June 2020; vaccine to be included in US Operation Warp Speed trials according to company,"Non-replicating viral vector; [E1-, E2b-, E3-] hAd5-COVID19-Spike/Nucleocapsid",,Unknown,,"Same platform as vaccine candidates for flu, Chik, Zika, EBOV, LASV, HIV/SIV, cancer",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
Valo Therapeutics Ltd,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Adenovirus-based + HLA-matched peptides (Pan-Corona),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
"Centro Nacional Biotecnologia (CNB-CSIC), Spain",Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,"Non-replicating viral vector, MVA expressing structural proteins",,Unknown,,"Same platform as vaccine candidates for HIV, HCV, CHIKV, EBOV, Zika, Malaria, Leishmania",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Janssen Pharmaceutical Companies/ Beth Israel Deaconess Medical Center/ Emergent BioSolutions/ Catalent,Vaccine,Non-replicating viral vector,Pre-clinical,Will join US Operation Warp Speed vaccine trials in September 2020; Start Phase I/IIa July 2020,"Ad26.COV2-S, Non replicating viral vector; Ad26 (alone or with MVA boost)",,Biomedical Advanced Research and Development Authority (BARDA),,"Same platform as vaccine candidates for Ebola, HIV, RSV",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/7/2020
Vaxart / Emergent BioSolutions,Vaccine,Non-replicating viral vector,Pre-clinical,Phase I trial to begin in the second half of 2020,"Non-replicating viral vector; Oral Vaccine
 platform",,Unknown,,"Same platform as vaccine candidates for InfA, CHIKV, LASV, NORV, EBOV, RVF, HBV, VEE",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
University of Georgia/ University of Iowa,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Non-replicating viral vector; parainfluenza virus 5 (PIV5)-based vaccine expressing the spike protein,,Unknown,,Same platform as vaccine candidates for MERS ,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
"Consortium of the Jenner Institute, Oxford Biomedica, University of Oxford, Vaccines Manufacturing and Innovation Centre, Pall Life Sciences, Cobra Biologics, HalixBV, Advent s.r.l., Merck KGaA, the Serum Institute, Vaccitech, and AstraZeneca ",Vaccine,Non-replicating viral vector,Phase III,Phase III enrolling in Brazil end of June 2020; South African trial starts end of June 2020; Will join US Operation Warp Speed Phase III vaccine trials in August 2020; Phase II/III trials enrolling May 2020,Non-replicating viral vector; AZD 1222 (formerly ChAdOx1),"ISRCTN89951424, NCT04324606, EudraCT 2020-001072-15, EudraCT 2020-001228-32, NCT04400838, ISRCTN89951424, PACTR202006922165132","Coalition for Epidemic Preparedness Innovations (CEPI)/ UK Government/ Biomedical Advanced Research and Development Authority (BARDA)/ Gavi, the Vaccine Alliance",,"Same platform as vaccine candidates for influenza, TB, Chikungunya, Zika, MenB, plague",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/6/2020
"IDIBAPS- Hospital Clinic, Spain",Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,MVA-S,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/1/2020
"National Center for Genetic Engineering and Biotechnology (BIOTEC)/ GPO, Thailand",Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Inactivated Flu-based SARS-CoV2 vaccine + Adjuvant,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/1/2020
"Grousbeck Gene Therapy Center at Mass. Eye and Ear/ AveXis, a Novartis Company/  Viralgen/ Aldevron/ Catalent/ Penn Medicine",Vaccine,Non-replicating viral vector,Pre-clinical,Phase 1 to begin second half of 2020,"AAVCOVID, Adeno-associated viral vector (AAV), spike protein",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/2/2020
Gamaleya  Research Institute,Vaccine,Non-replicating viral vector,Phase I,Unknown,Adeno-based,NCT04437875,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/23/2020
"National
  Research Centre, Egypt",Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Influenza A H1N1 vector,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
ID Pharma,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Sendai virus vector,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Ankara University,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Adenovirus-based,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
